"hh_id","part_id","part_gender","part_occupation","part_occupation_detail","part_education","part_education_length","participant_school_year","participant_nationality","child_care","child_care_detail","child_relationship","child_nationality","problems","diary_how","diary_missed_unsp","diary_missed_skin","diary_missed_noskin","sday_id","type","day","month","year","dayofweek","hh_age_1","hh_age_2","hh_age_3","hh_age_4","hh_age_5","hh_age_6","hh_age_7","hh_age_8","hh_age_9","hh_age_10","hh_age_11","hh_age_12","hh_age_13","hh_age_14","hh_age_15","hh_age_16","hh_age_17","hh_age_18","hh_age_19","hh_age_20","class_size","country","hh_size","part_age_exact"
"Mo08HH466",466,"F",1,7,3,13,NA,"IT","",NA,NA,"","N",3,4,NA,NA,20060522,1,22,5,2006,1,7,7,11,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Italy",5,40
"Mo08HH4660",4660,"M",6,NA,4,13,NA,"UK","N",NA,2,"UK","",NA,1,1,1,20060429,3,29,4,2006,6,2,10,30,6,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United Kingdom",5,6
"Mo08HH4661",4661,"F",5,NA,5,16,NA,"OT","Y",NA,1,"OT","",NA,1,1,1,20060428,3,28,4,2006,5,2,4,5,32,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United Kingdom",5,5
"Mo08HH4662",4662,"M",5,NA,4,13,NA,"UK","Y",NA,1,"UK","",NA,1,1,1,20060505,3,5,5,2006,5,23,7,4,28,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United Kingdom",5,7
"Mo08HH4663",4663,"M",5,3,5,16,NA,"UK","Y",NA,1,"UK","",NA,1,1,1,20060421,3,21,4,2006,5,1,8,30,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United Kingdom",4,8
"Mo08HH4664",4664,"F",5,1,5,16,NA,"UK","Y",NA,1,"UK","",NA,1,1,1,20060421,3,21,4,2006,5,5,11,14,15,41,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United Kingdom",6,5
"Mo08HH4665",4665,"F",5,3,5,16,NA,"UK","Y",NA,1,"UK","",NA,1,1,1,20060429,3,29,4,2006,6,3,31,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United Kingdom",3,3
"Mo08HH4666",4666,"M",5,NA,4,13,NA,"UK","Y",NA,1,"UK","",NA,1,1,1,20060429,3,29,4,2006,6,1,3,32,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United Kingdom",4,3
"Mo08HH4667",4667,"M",5,2,4,13,NA,"UK","Y",NA,1,"UK","",NA,1,1,1,20060426,3,26,4,2006,3,4,12,34,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United Kingdom",4,4
"Mo08HH4668",4668,"F",5,2,6,18,NA,"UK","Y",NA,1,"UK","",NA,4,3,3,20060426,3,26,4,2006,3,3,5,28,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United Kingdom",4,3
"Mo08HH4669",4669,"F",6,NA,1,6,NA,"UK","N",NA,1,"UK","",NA,1,1,1,NA,3,NA,NA,2006,NA,3,0,23,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United Kingdom",4,3
"Mo08HH467",467,"M",6,NA,6,18,NA,"IT","",NA,NA,"","N",2,4,NA,NA,20060522,1,22,5,2006,1,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Italy",2,63
"Mo08HH4670",4670,"F",5,NA,5,16,NA,"UK","Y",NA,1,"UK","",NA,1,1,1,NA,3,NA,NA,2006,NA,1,3,5,6,31,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United Kingdom",6,5
"Mo08HH4671",4671,"M",5,1,5,16,NA,"UK","Y",NA,1,"UK","",NA,1,1,1,NA,3,NA,NA,2006,NA,3,5,38,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United Kingdom",4,5
"Mo08HH4672",4672,"F",5,NA,4,13,NA,"UK","Y",NA,1,"UK","",NA,1,1,1,20060429,3,29,4,2006,6,3,28,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United Kingdom",3,3
"Mo08HH4673",4673,"M",5,NA,4,13,NA,"UK","Y",NA,1,"UK","",NA,1,1,1,20060426,3,26,4,2006,3,0,29,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United Kingdom",3,0
