"lower.age.limit","population"
0,3453670
5,3558887
10,3826567
15,3960166
20,3906577
25,3755132
30,4169859
35,4694734
40,4655093
45,3989175
50,3615150
55,3902231
60,3126452
65,2710063
70,2352113
75,1964744
80,1480606
85,757996
90,324245
95,74738
100,8553
